,Coded input gas rate (cu. ft. / min.),Output concentration (% CO2)
1900-01-01 00:00:00,-0.109,53.8
1900-01-01 00:00:09,0.0,53.6
1900-01-01 00:00:18,0.178,53.5
1900-01-01 00:00:27,0.339,53.5
1900-01-01 00:00:36,0.373,53.4
1900-01-01 00:00:45,0.441,53.1
1900-01-01 00:00:54,0.461,52.7
1900-01-01 00:01:03,0.348,52.4
1900-01-01 00:01:12,0.127,52.2
1900-01-01 00:01:21,-0.18,52.0
1900-01-01 00:01:30,-0.588,52.0
1900-01-01 00:01:39,-1.055,52.4
1900-01-01 00:01:48,-1.421,53.0
1900-01-01 00:01:57,-1.52,54.0
1900-01-01 00:02:06,-1.302,54.9
1900-01-01 00:02:15,-0.814,56.0
1900-01-01 00:02:24,-0.475,56.8
1900-01-01 00:02:33,-0.193,56.8
1900-01-01 00:02:42,0.088,56.4
1900-01-01 00:02:51,0.435,55.7
1900-01-01 00:03:00,0.771,55.0
1900-01-01 00:03:09,0.866,54.3
1900-01-01 00:03:18,0.875,53.2
1900-01-01 00:03:27,0.891,52.3
1900-01-01 00:03:36,0.987,51.6
1900-01-01 00:03:45,1.263,51.2
1900-01-01 00:03:54,1.775,50.8
1900-01-01 00:04:03,1.976,50.5
1900-01-01 00:04:12,1.934,50.0
1900-01-01 00:04:21,1.866,49.2
1900-01-01 00:04:30,1.832,48.4
1900-01-01 00:04:39,1.767,47.9
1900-01-01 00:04:48,1.608,47.6
1900-01-01 00:04:57,1.265,47.5
1900-01-01 00:05:06,0.79,47.5
1900-01-01 00:05:15,0.36,47.6
1900-01-01 00:05:24,0.115,48.1
1900-01-01 00:05:33,0.088,49.0
1900-01-01 00:05:42,0.331,50.0
1900-01-01 00:05:51,0.645,51.1
1900-01-01 00:06:00,0.96,51.8
1900-01-01 00:06:09,1.409,51.9
1900-01-01 00:06:18,2.67,51.7
1900-01-01 00:06:27,2.834,51.2
1900-01-01 00:06:36,2.812,50.0
1900-01-01 00:06:45,2.483,48.3
1900-01-01 00:06:54,1.929,47.0
1900-01-01 00:07:03,1.485,45.8
1900-01-01 00:07:12,1.214,45.6
1900-01-01 00:07:21,1.239,46.0
1900-01-01 00:07:30,1.608,46.9
1900-01-01 00:07:39,1.905,47.8
1900-01-01 00:07:48,2.023,48.2
1900-01-01 00:07:57,1.815,48.3
1900-01-01 00:08:06,0.535,47.9
1900-01-01 00:08:15,0.122,47.2
1900-01-01 00:08:24,0.009,47.2
1900-01-01 00:08:33,0.164,48.1
1900-01-01 00:08:42,0.671,49.4
